,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
455226,1111193952,2016-03-10T00:00:00,817.0,,,CA,201702.0,,NISS,PA,SI,1642 N ECHO PARK AV,00672,56.0,8069BS,NO PARK/STREET CLEAN,73.0,6484606.6,1852426.5
8008790,4338376280,2018-08-20T00:00:00,1018.0,,,CA,201806.0,,HOND,PA,BK,1106 BRONSON AVE N,00448,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6465409.272534,1855608.4747549999
3660706,4291327972,2016-08-25T00:00:00,1737.0,,,CA,201612.0,,CHEV,PA,SL,12011 VICTORY BOULEVARD,00300,53.0,80.70,NO STOPPING/ANTI-GRI,163.0,6441665.6,1890553.6
4019108,4308133620,2017-05-16T00:00:00,20.0,31,,CA,201802.0,,HOND,PA,BK,4855 LEXINGTON AVENUE,00401,54.0,80.58L,PREFERENTIAL PARKING,68.0,6472358.043383,1856512.375921
92664,4274859702,2016-01-14T00:00:00,1404.0,,,CA,201508.0,,LEXS,PA,GY,633 LA BREA AV N,00476,54.0,5204A-,DISPLAY OF TABS,25.0,6457473.0,1845845.4
3582172,4291653144,2016-08-12T00:00:00,1009.0,,,CA,201702.0,,BMW,PA,SL,4846 COLDWATER CANYON AVE,00353,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6436488.5,1880416.5
2340206,4260899392,2015-06-26T00:00:00,1652.0,30,,CA,201603.0,,MERZ,PA,BK,755 NORTH ALFRED STREET,474,54.0,80.58L,PREFERENTIAL PARKING,68.0,6448036.0,1853365.4
8674564,4345671396,2019-01-02T00:00:00,916.0,,,CA,201906.0,,MERZ,PA,WT,509 VAN NESS AVE S,465R1,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
370904,4277815382,2016-02-29T00:00:00,1620.0,42,,CA,201610.0,,LEXS,PA,RD,506 GOWER ST,00486,54.0,80.58L,PREFERENTIAL PARKING,68.0,6463955.2,1851332.3
5607690,1115011236,2017-06-13T00:00:00,1015.0,,,TX,201604.0,,LEXS,TR,GY,1800 N CHEROKEE,,1.0,4000A1,NO EVIDENCE OF REG,50.0,6460326.635457,1860106.294781
