,Ticket number,Issue Date,Issue time,Meter Id,Marked Time,RP State Plate,Plate Expiry Date,VIN,Make,Body Style,Color,Location,Route,Agency,Violation code,Violation Description,Fine amount,Latitude,Longitude
8228252,4339939203,2018-10-02T00:00:00,1320.0,SG38,,CA,201905.0,,BMW,PA,BK,1501 CURSON AV N,00460,54.0,88.13B+,METER EXP.,63.0,6454187.988283,1858249.526857
428987,4277379422,2016-03-09T00:00:00,1049.0,,,CA,201511.0,,FORD,PA,WT,6452 6TH ST W,00471,54.0,5204A-,DISPLAY OF TABS,25.0,6449977.9,1846502.4
8510752,4344227086,2018-11-28T00:00:00,951.0,,,CA,201810.0,,GMC,VN,WT,801 7TH ST W,00655,56.0,80.56E4+,RED ZONE,93.0,6483280.353619997,1840201.940487
7323952,4330180886,2018-04-07T00:00:00,1218.0,NH94,,GA,201801.0,,CHEV,PA,GY,11000 MAGNOLIA BL,00382,53.0,88.13B+,METER EXP.,63.0,6449547.635284998,1882600.208552
6116784,4317141242,2017-09-18T00:00:00,1049.0,,,CA,201710.0,,INFI,PA,GY,10620 SOUTH GRAMERCY PLACE,00552,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6466611.91284722,1800637.89301507
583839,4278415422,2016-04-04T00:00:00,818.0,,,CA,201610.0,,FORD,PA,WT,3200 GENEVA ST,00415,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6474722.2,1847148.8
2489262,1110731075,2015-07-09T00:00:00,1526.0,,,CA,201603.0,,MERZ,PA,WH,2800 E OBSERVATORY,,4.0,8049,WRG SD/NOT PRL,63.0,6470141.4,1867430.4
875308,4283354946,2016-05-19T00:00:00,1429.0,,,CA,201603.0,,DODG,PA,WT,4531 W MONROE ST,00471,54.0,5204A-,DISPLAY OF TABS,25.0,99999.0,99999.0
4097634,4297110075,2016-10-24T00:00:00,1100.0,PR16894,,CA,201705.0,,LNDR,PA,WT,8866 PICO BLVD,00107,51.0,88.13B+,METER EXP.,63.0,6444772.348925,1842690.993494
1592137,4253287102,2015-02-24T00:00:00,1218.0,,,CA,201504.0,,TOYT,PA,SL,1920 SAWTELLE BLVD,00108,51.0,22500C,SAFETY ZONE/CURB,68.0,6426949.0,1838035.1
6524756,4321173931,2017-12-14T00:00:00,202.0,,,CA,201804.0,,VOLV,PA,WT,1730 WESTERN AVE N,402A,54.0,80.56E1,WHITE ZONE,58.0,6468043.104263,1859877.780504
5486573,4310305893,2017-06-06T00:00:00,823.0,,,CA,201706.0,,SUBA,PA,GO,3909 CARPENTER AVE,00351,53.0,80.69AA+,NO STOP/STAND,93.0,6443060.766642,1873904.924785
5227368,4306556461,2017-05-06T00:00:00,2123.0,,,CA,201710.0,,HOND,PA,BK,5530 MAIDEN LANE,00500,55.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0
366789,4276583356,2016-02-29T00:00:00,853.0,,,CA,201512.0,,MERZ,PA,MR,219 SOUTH WESTMORELAND AVENUE,00456,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6474477.6,1848040.6
8662935,4344719470,2018-12-31T00:00:00,1806.0,26,,CA,201801.0,,ACUR,PA,BK,2367 KELTON AVE,00201,51.0,80.58L,PREFERENTIAL PARKING,68.0,6431087.433718,1837179.442089
2063961,1111735262,2015-05-09T00:00:00,845.0,,,CA,201512.0,,LEXU,PA,GY,2386 MIDVALE AV,313W,51.0,8056E1,WHITE ZONE,58.0,6431486.4,1837187.9
58244,4274596266,2016-01-10T00:00:00,1851.0,64,,CA,201605.0,,FORD,PA,GY,6615 FRANKLIN AVENUE,00450,54.0,80.58L,PREFERENTIAL PARKING,68.0,6460526.8,1860831.7
2229931,1110801764,2015-06-07T00:00:00,1842.0,,,CA,201605.0,,FORD,TR,WH,2416 S VETERAN AVE,00123,51.0,8058L,PREF PARKING,68.0,99999.0,99999.0
504958,4279242122,2016-03-21T00:00:00,1159.0,,,CA,201609.0,,FORD,PU,OR,2501 13TH AVE,00107,51.0,80.56E4+,RED ZONE,93.0,6461095.4,1835039.0
7739271,4334666350,2018-06-27T00:00:00,1426.0,,,CA,201905.0,,MERZ,PA,WT,18401BLK COLLINS ST,378R2,53.0,80.61,STANDNG IN ALLEY,68.0,99999.0,99999.0
7368401,4330763010,2018-04-30T00:00:00,706.0,,,CA,201901.0,,CHEV,PA,BK,5635 6TH ST W,00477,54.0,80.56E4+,RED ZONE,93.0,6455357.819804,1846181.8780770001
8206385,4341716271,2018-09-27T00:00:00,1621.0,,,CA,201905.0,,DODG,PA,WT,308 4TH ST E,00600,56.0,80.69AP+,NO STOP/STANDING,93.0,6486104.001278,1840518.3798689998
4070314,4295566203,2016-10-24T00:00:00,1356.0,L226,,CA,201604.0,,TRIU,PA,BK,646 LARCHMONT BL N,00477,54.0,88.13B+,METER EXP.,63.0,6463661.37191,1852571.6234
6145767,4317734643,2017-09-24T00:00:00,1524.0,,,CA,201802.0,,JEEP,PA,BK,11708 SAN VICENTE BL,00330,51.0,5200,DISPLAY OF PLATES,25.0,6420372.840917,1842105.784495
6174493,4315915601,2017-10-11T00:00:00,1640.0,,,CA,201801.0,,FORD,PA,GY,758 DUNSMUIR AVE,103R,51.0,5200,DISPLAY OF PLATES,25.0,6456067.089979,1844866.077552
4601100,4301387510,2017-01-28T00:00:00,940.0,,,CA,201611.0,,CHEV,PA,GY,2600 15TH ST W,530R1,55.0,5204A-,DISPLAY OF TABS,25.0,6471513.371341,1839039.388575
3015745,4269688533,2015-10-15T00:00:00,1703.0,NH955,,CA,,,LEXS,PA,SL,4364 TUJUNGA AV,00309,53.0,88.13B+,METER EXP.,63.0,6447002.4,1876991.3
7857487,4335035913,2018-07-20T00:00:00,1122.0,210,,CA,201808.0,,ISU,TK,WT,3963 TIVOLI AVENUE,00902,51.0,80.58L,PREFERENTIAL PARKING,68.0,6427664.425042,1820744.1143200002
1036129,4285817115,2016-06-15T00:00:00,1221.0,,,CA,201701.0,,LEXS,PA,BK,1400 CRESCENT COURT,906R,51.0,80.61,STANDNG IN ALLEY,68.0,6421939.4,1819366.1
8493992,4343463342,2018-11-26T00:00:00,1107.0,,855.0,CA,201902.0,,FORD,PA,RD,1272 MIDVALE AVE,00151,51.0,80.69C,PARKED OVER TIME LIMIT,58.0,6426949.700356,1843414.694159
4948129,4304874781,2017-03-11T00:00:00,1049.0,CB3959A,,CA,201709.0,,HOND,PA,SL,1001 WALL ST S,00601,56.0,88.53,OFF STR MTR/OUT LINE,58.0,6484987.165311,1836161.712155
3296037,4272866183,2015-12-03T00:00:00,2207.0,,,CA,201606.0,,CHEV,PA,GY,10800 VENTURA BLVD,00315,53.0,80.69B,NO PARKING,73.0,6450421.3,1873331.1
339296,4276874630,2016-02-24T00:00:00,1120.0,,,CA,1.0,,NISS,PA,SL,5229 BORLAND ROAD,00631,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
6272759,4318725235,2017-10-24T00:00:00,901.0,,,CA,201603.0,,CHEV,PU,BL,6060 HILLANDALE DR,00645,56.0,5204A-,DISPLAY OF TABS,25.0,6504855.93092404,1868369.17542092
4002357,4296824556,2016-12-17T00:00:00,107.0,,,CA,201707.0,,HOND,PA,WT,900 ESPERANZA ST,00600,56.0,80.69B,NO PARKING,73.0,6502257.632208,1831763.718866
5033723,4303907462,2017-04-13T00:00:00,1145.0,,,CA,201801.0,,NISS,PA,GY,1940 MELLON AVE,00676,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6486968.849307,1859493.652551
134572,1106322081,2016-01-08T00:00:00,1830.0,,,CA,201603.0,,HOND,PA,SI,LANARK/TOPANGA PARK,,1.0,225078B,HANDICPD/BLOCKING,363.0,99999.0,99999.0
3490297,4289120640,2016-07-28T00:00:00,1218.0,,,CA,201704.0,,CADI,PA,BK,2256 WELLESLEY AVE,00113,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6424109.6,1833673.0
2310528,4262014234,2015-06-22T00:00:00,1533.0,,,CA,201601.0,,GRUM,CM,BN,243 FIGUEROA ST N,00631,56.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0
7914998,4335833611,2018-08-02T00:00:00,909.0,,,CA,,,DODG,PA,WT,311 42ND ST W,538C,55.0,5204A-,DISPLAY OF TABS,25.0,6477217.869133,1825200.1696209998
3565905,4291310354,2016-08-10T00:00:00,915.0,,,CA,201604.0,,TOYT,PA,BK,6517 YOLANDA AVE,00322,53.0,5204A-,DISPLAY OF TABS,25.0,6398243.7,1891627.0
8392117,4342884324,2018-11-02T00:00:00,859.0,,,CA,201909.0,,HOND,PA,GY,10537 MAGNOLIA BLVD,378R2,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6452602.2276449995,1882590.553405
3270926,4272222231,2015-11-30T00:00:00,1220.0,,,CA,201606.0,,CHEV,PA,WT,431 SOUTH PARK VIEW STREET,00456,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6477850.3,1845683.1
3041756,4269616455,2015-10-20T00:00:00,1057.0,,,CA,201512.0,,LEXS,PA,BL,300 HOPE ST S,00632,56.0,80.69A+,STOP/STAND PROHIBIT,93.0,6485250.9,1842024.5
3185737,4269990060,2015-11-13T00:00:00,1446.0,BR67,,CA,201605.0,,MERZ,PA,BK,11901 SAN VICENTE BL,00111,51.0,88.13B+,METER EXP.,63.0,6418423.9,1841658.9
6842625,4325245444,2018-01-20T00:00:00,2157.0,36,,CA,,,JEEP,PA,GY,736 CLOVERDALE AVE,00205,51.0,80.58L,PREFERENTIAL PARKING,68.0,6456744.748143,1844982.983505
5390762,4309671074,2017-05-30T00:00:00,1223.0,,,CA,201709.0,,VOLK,PA,BK,7001 ROSEWOOD AVENUE,00476,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6457817.3336769985,1851772.231256
3119592,4270244742,2015-11-02T00:00:00,802.0,,,CA,,,TOYT,PA,GY,340 SAN PEDRO ST S,00688,56.0,80.56E2,YELLOW ZONE,58.0,6488126.4,1839392.7
2035032,4258759153,2015-05-07T00:00:00,1059.0,WB152,,CA,201506.0,,TOYT,PA,BL,1806 HILL ST S,00600,56.0,88.13B+,METER EXP.,63.0,99999.0,99999.0
875587,4283384840,2016-05-19T00:00:00,1051.0,,,CA,201611.0,,HOND,PA,WT,901 12TH ST E,689R1,56.0,80.56E4+,RED ZONE,93.0,6485950.4,1834152.3
6568850,4322173940,2017-12-13T00:00:00,922.0,,,CA,201810.0,,NISS,PA,WT,939 SUPERBA AVE,00135,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6422746.478128,1821022.737783
3337272,4271889285,2015-12-11T00:00:00,2145.0,53,,CA,201609.0,,TOYT,PA,GY,600 DETROIT ST,00401,54.0,80.58L,PREFERENTIAL PARKING,68.0,6457146.2,1846181.4
6213123,4317868774,2017-10-07T00:00:00,1036.0,,,CA,201804.0,,FORD,PA,WT,100 SOUTH AVENUE 59,00641,56.0,80.56E4+,RED ZONE,93.0,6503851.044265,1862640.348247
1488047,4252238852,2015-02-03T00:00:00,1606.0,,,CA,11.0,,STRN,PA,GY,7963 VAN NUYS BLVD,350R,53.0,5204A-,DISPLAY OF TABS,25.0,6425994.5,1900790.7
8004803,4336817704,2018-08-20T00:00:00,729.0,,,CA,,,TOYT,PU,BK,700 SPRING ST S,00653,56.0,80.69AP+,NO STOP/STANDING,93.0,6489617.434651,1844243.6351509998
1169051,4285942636,2016-07-08T00:00:00,1454.0,,1237.0,CA,201612.0,,TOYT,PA,SL,5138 ZELZAH AVE,00382,53.0,80.69C,PARKED OVER TIME LIM,58.0,6403753.2,1882507.9
1519903,4252397391,2015-02-11T00:00:00,1104.0,,,CA,201412.0,,GMC,PU,WT,344 MOTT ST N,00634,56.0,5204A-,DISPLAY OF TABS,25.0,6499733.3,1838656.1
2270501,4260832461,2015-06-16T00:00:00,913.0,,,CA,201604.0,,TOYT,PA,SL,6303 RESEDA BLVD,00376,53.0,80.69B,NO PARKING,73.0,6399557.5,1890077.9
1240416,4246610572,2014-11-01T00:00:00,1017.0,,,CA,12.0,3229,MAZD,PA,GY,10151 NATIONAL BLVD,00174,51.0,80.56E4+,RED ZONE,93.0,6438242.4,1833194.3
7939254,4336686771,2018-08-07T00:00:00,1622.0,WP136,,CA,201811.0,,BMW,PA,BK,401 WASHINGTON BL W,00303,51.0,88.13B+,METER EXP.,63.0,6421153.962982,1815809.430115
6844262,4325274564,2018-01-19T00:00:00,812.0,,,CA,201711.0,,JEEP,PA,WT,555 BARRINGTON AVE,00143,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6419846.706355,1843846.483588
6638049,4323092874,2017-12-15T00:00:00,1224.0,SS185,,CA,201803.0,,MERZ,PA,BK,11601 SANTA MONICA BL,00113,51.0,88.13B+,METER EXP.,63.0,6424146.504262,1838951.53243
3205320,4271055596,2015-11-17T00:00:00,1056.0,,840.0,CA,,,OTHR,TR,SL,1017 SANTEE STREET,00667,56.0,80.69C,PARKED OVER TIME LIM,58.0,6484356.5,1836575.0
3091501,4269659984,2015-10-28T00:00:00,1346.0,,1140.0,CA,201604.0,,GMC,PU,BK,4206 LINCOLN BLVD,00131,51.0,80.69C,PARKED OVER TIME LIM,58.0,99999.0,99999.0
901255,4283240452,2016-05-24T00:00:00,232.0,,,CA,201603.0,,VOLK,PA,WT,22100 CALVERT ST,00300,53.0,5204A-,DISPLAY OF TABS,25.0,6377734.5,1888872.1
4356411,4298807004,2016-12-07T00:00:00,1204.0,CB3447,,CA,201704.0,,LEXS,PA,SL,400 11TH ST W,00657,56.0,88.13B+,METER EXP.,63.0,6482303.019898,1837608.624382
2521976,4263968866,2015-07-27T00:00:00,1231.0,,,CA,201606.0,,TOYT,PA,GY,14000 HARTLAND ST,00361,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6429276.9,1893576.1
7446702,4331541885,2018-05-07T00:00:00,1418.0,,,CA,4.0,,OTHR,VN,BN,400 SAN PEDRO ST S,00636,56.0,80.56E4+,RED ZONE,93.0,6488052.842243,1839154.310016
3849401,4291643451,2016-09-29T00:00:00,1323.0,,,CA,201605.0,,FORD,VN,WT,5440 SAN FERNANDO ROAD W,6T8,56.0,5204A-,DISPLAY OF TABS,25.0,6478298.8,1877913.4
2732250,4266242665,2015-08-28T00:00:00,5.0,,,CA,201512.0,,KIA,PA,SL,6401 SELMA AVE,402R,54.0,80.56E1,WHITE ZONE,58.0,6461907.6,1858855.4
6470253,4321349314,2017-11-24T00:00:00,1110.0,,,CA,201706.0,,NISS,PA,OT,662 OLIVE ST,00408,51.0,5204A-,DISPLAY OF TABS,25.0,6423440.431469998,1817934.482053
6724382,4323494534,2018-01-02T00:00:00,1032.0,,,CA,201811.0,,FORD,PA,RD,1231 MAPLE AVE S,00655,56.0,80.56E4+,RED ZONE,93.0,6483921.66101,1835332.661552
6187852,4317179510,2017-10-19T00:00:00,609.0,,,CA,201805.0,,HOND,PA,BL,3603 VINTON AVE,506A,51.0,80.56E4+,RED ZONE,93.0,6438572.014805,1831885.54919
7546869,4331223374,2018-05-24T00:00:00,1252.0,,,CA,201905.0,,HOND,PA,RD,4106 OAKWOOD AVENUE,00474,54.0,22500F,PARKED ON SIDEWALK,68.0,6472069.770175,1850780.316891
5443366,4309568771,2017-06-01T00:00:00,1246.0,,,CA,201708.0,,HOND,PA,GY,608 SOUTH PARK VIEW STREET,00464,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6477255.420158,1844669.587329
5674032,4312229132,2017-07-11T00:00:00,1027.0,6,,CA,201705.0,,TOYT,PA,OT,10351 ASHTON AVE,00187,51.0,80.58L,PREFERENTIAL PARKING,68.0,6432431.3747040015,1846873.868418
1457018,1111911754,2015-01-25T00:00:00,1950.0,,,CA,201510.0,,HOND,PA,GY,9625 BELLANCA,5M26,2.0,8069B,NO PARKING,73.0,6446402.7,1804122.0
4454360,4300264614,2016-12-23T00:00:00,212.0,,,WA,201612.0,,NISS,PA,TN,501 121ST ST W,00500,55.0,80.56E4+,RED ZONE,93.0,6475880.393982,1794302.157918
7790860,4335828033,2018-07-08T00:00:00,927.0,,,CA,201903.0,,PONT,PA,MR,1046 35TH ST E,00500,55.0,80.61,STANDNG IN ALLEY,68.0,6483565.921739,1826771.151698
7223082,1115762270,2018-04-19T00:00:00,1235.0,,,CA,201709.0,,FORD,TR,BL,3200 COUNTRY CLUB DR,20XL2,1.0,4000A1,NO EVIDENCE OF REG,50.0,99999.0,99999.0
2239798,4259656936,2015-06-11T00:00:00,136.0,,,WA,201602.0,,PTRB,TK,GY,APPX 1610 MCGARRY STREET,00604,56.0,80.56E4+,RED ZONE,93.0,99999.0,99999.0
6187468,4317165495,2017-10-05T00:00:00,1053.0,,,CA,9.0,,GRUM,TK,BN,355 9TH ST W,00653,56.0,80.56E4+,RED ZONE,93.0,6483531.675723,1838327.656719
7569438,4332854470,2018-05-29T00:00:00,839.0,,,CA,201811.0,,HOND,PA,BK,1525 CORTEZ ST,645A,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6483006.607390001,1846893.772468
7804437,4336248324,2018-07-10T00:00:00,1211.0,,,CA,201812.0,,LEXS,PA,BK,249 LA FAYETTE PARK PL S,00471,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6476895.008292,1847309.257965
5650501,4311847735,2017-07-12T00:00:00,815.0,,,CA,201710.0,,HYUN,PA,BK,6500 BK W YUCCA ST,489R1,54.0,5200,DISPLAY OF PLATES,25.0,99999.0,99999.0
6703019,4322565763,2018-01-02T00:00:00,1227.0,,,CA,201805.0,,TOYT,PA,BL,317 N NORTH ALTA VISTA BOULEVARD,00421,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
1739907,4255061182,2015-03-18T00:00:00,728.0,,,CA,201504.0,,NISS,PA,GY,2434 PICO BLVD W,538C,55.0,80.69AA+,NO STOP/STAND,93.0,6420989.5,1830815.2
8110553,4339672094,2018-09-10T00:00:00,1225.0,,,CA,201908.0,,VOLK,PA,GY,300 90TH ST W,00500,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6477299.362846,1806157.378078
8485484,4344318053,2018-11-21T00:00:00,1033.0,CB159,,CA,201904.0,,LEXS,PA,WT,1300 HOPE ST S,00565,56.0,88.13B+,METER EXP.,63.0,6481194.055335,1836860.03788
5111242,4306486376,2017-04-10T00:00:00,1006.0,,,CA,201709.0,,BUIC,PA,WT,326 GARDNER ST N,00477,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6454705.919414,1850480.539473
6600753,4322593575,2017-12-20T00:00:00,904.0,,,CA,201808.0,,TOYT,PA,GY,5425 WILLOW CREST AVENUE,00354,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6451972.763955,1884090.150298
8576560,4344262672,2018-12-12T00:00:00,900.0,,,CA,201906.0,,TOYT,PA,GY,2017 BROWNING BLVD,534H,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
4929528,4304657125,2017-03-08T00:00:00,230.0,,,CA,201711.0,,TOYT,PA,SL,600 SPRING ST S,00600,56.0,80.56E1,WHITE ZONE,58.0,6485641.283683,1839201.358919
7551024,4332897564,2018-05-24T00:00:00,226.0,,,CA,201902.0,,GMC,PA,GY,132 35TH ST E,00500,55.0,22514,FIRE HYDRANT,68.0,6478442.975829,1828996.3590169998
4407627,4299456416,2016-12-09T00:00:00,1941.0,BH281,,CA,201707.0,,NISS,PA,BK,1900 1ST ST E,00600,56.0,88.13B+,METER EXP.,63.0,6495799.732017,1839391.311784
6299020,4319088314,2017-10-18T00:00:00,1220.0,,,CA,,,MERZ,PA,GY,5608 ALDEA AVENUE,369B,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6408139.3819550015,1885555.273642
5098328,4306327981,2017-04-27T00:00:00,1332.0,,,CA,201711.0,,TOYT,PU,BK,712 APPELBY ST,00135,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6421466.129593,1823702.828691
8088932,4339424541,2018-09-04T00:00:00,1209.0,,,CA,201801.0,,LEXS,PA,WT,6324 FALLBROOK AVE,00371,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6373146.0463769995,1890315.2773419998
4248324,4297868223,2016-11-22T00:00:00,1328.0,,,CA,201709.0,,NISS,PA,BK,254 WEST 89TH STREET,00500,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,6477591.19459,1806312.375098
1637920,4253955860,2015-03-03T00:00:00,1239.0,,,CA,201510.0,,BMW,PA,BL,100 11TH ST E,00685,56.0,5200,DISPLAY OF PLATES,25.0,6483460.4,1836704.3
4497708,4299782546,2017-01-07T00:00:00,1851.0,12,,CA,12.0,,BMW,PA,WT,1068 SANBORN AVENUE,00403,54.0,80.58L,PREFERENTIAL PARKING,68.0,6476647.404465,1855898.7537080003
2593698,4262253240,2015-08-07T00:00:00,812.0,,,CA,201502.0,,HYUN,PA,BL,4070 VINELAND AVENUE,57B,51.0,5204A-,DISPLAY OF TABS,25.0,99999.0,99999.0
2990350,4269244431,2015-10-11T00:00:00,139.0,,,CA,201609.0,,NISS,PA,RD,6607 HOLLYWOOD BOULEVARD,00401,54.0,80.69B,NO PARKING,73.0,6460697.3,1859515.8
7987356,4337659465,2018-08-15T00:00:00,910.0,,,NV,201905.0,,MERZ,PA,BK,4134 EAST BLVD,00135,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6434216.9046669975,1823019.1929669997
1198575,4286368833,2016-07-13T00:00:00,1132.0,30,,CA,201609.0,,TOYT,PA,GY,753 NORTH ALFRED STREET,00471,54.0,80.58L,PREFERENTIAL PARKING,68.0,6448036.0,1853352.6
2224503,4260304020,2015-06-09T00:00:00,1149.0,,,CA,201508.0,,TOYT,PA,WT,1216 SOUTH CORNING STREET,00184,51.0,22500E,BLOCKING DRIVEWAY,68.0,99999.0,99999.0
4092073,4296544641,2016-10-28T00:00:00,1334.0,,,CA,201702.0,,SUBA,PA,WT,2805 AVENUE 30 W,00676,56.0,80.73.2,EXCEED 72HRS-ST,68.0,6488386.25064675,1862891.56891101
742773,4281227672,2016-04-29T00:00:00,524.0,,,CA,201703.0,,TOYT,TK,WT,1017 76TH PL E,00554,55.0,80.61,STANDNG IN ALLEY,68.0,6483649.9,1811668.4
3475616,4289340344,2016-07-26T00:00:00,1128.0,,,CA,201702.0,,TOYT,PA,BK,1856 HI POINT ST,00148,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6449068.9,1838053.9
8333646,4342207144,2018-10-23T00:00:00,2213.0,,,CA,201908.0,,TOYT,PA,GY,2283 ADAMS BLVD,00203,51.0,80.61,STANDNG IN ALLEY,68.0,6465560.960525,1834414.2499560001
1693677,4254492270,2015-03-10T00:00:00,1017.0,,,CA,201511.0,,FORD,PA,GY,2126 MOZART ST,00632,56.0,80.69BS,NO PARK/STREET CLEAN,73.0,6496254.2,1847736.1
2718657,4264905282,2015-08-27T00:00:00,334.0,545,,CA,,,NISS,PA,GY,2530 10TH AVE,00300,51.0,80.58L,PREFERENTIAL PARKING,68.0,99999.0,99999.0
3888215,4294306645,2016-10-05T00:00:00,905.0,,,CA,5.0,,NISS,PA,GY,5030 8TH ST W,00477,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6459309.822394,1844532.543517
5026211,1114063005,2017-04-04T00:00:00,1020.0,,,CA,201704.0,,FORD,PA,GY,APX 5950 SATURN ST,00146,51.0,8069BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
3875102,4294600376,2016-10-03T00:00:00,1047.0,,,CA,201703.0,,CHEV,TK,BK,200 STRADA CORTA ROAD,00142,51.0,80.69B,NO PARKING,73.0,6428400.16925964,1851279.42800088
2851898,4267524531,2015-09-17T00:00:00,2012.0,53,,CA,201606.0,,JEEP,PA,SL,721 ALTA VISTA BLVD N,00401,54.0,80.58L,PREFERENTIAL PARKING,68.0,6456464.2,1853085.2
4189533,4297040941,2016-11-10T00:00:00,1544.0,V27610,,CA,201703.0,,PONT,PA,BK,1608 PACIFIC AVE S,00905,51.0,88.13B+,METER EXP.,63.0,6418525.821464,1818220.601088
2616081,4264525053,2015-08-11T00:00:00,1633.0,,,CA,201512.0,,HOND,PA,RD,460 LA BREA AVE S,00472,54.0,80.70,NO STOPPING/ANTI-GRI,163.0,99999.0,99999.0
224769,4276259315,2016-02-04T00:00:00,1240.0,,,CA,201602.0,,TOYT,PA,WT,12316 TEXAS AVE,00151,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6419949.1,1837762.6
1306573,4250679532,2015-01-07T00:00:00,1514.0,,,CA,201510.0,,MNNI,PA,GN,151 6TH ST W,00664,56.0,80.69A+,STOP/STAND PROHIBIT,93.0,6502922.7,1740244.8
8157071,4340573381,2018-09-19T00:00:00,1209.0,,,CA,201904.0,,MERZ,PA,RD,6055 HAZELHURST PL,00353,53.0,80.69BS,NO PARK/STREET CLEAN,73.0,6444865.3961510025,1888257.76158
2608428,4264650865,2015-08-10T00:00:00,827.0,,,CA,201605.0,,BMW,PA,BK,249 5TH AVE,00134,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,6417674.8,1822247.4
5608780,1115174491,2017-06-25T00:00:00,1900.0,,,CA,201712.0,,HOND,PA,BK,7900 VISTA DEL MAR,14FB2,1.0,8069A,NO STOPPING/STANDING,93.0,6426818.50099387,1804016.40437274
6300466,4319112895,2017-10-27T00:00:00,1210.0,,,CA,201804.0,,HYUN,PA,SL,734 DILLON ST N,00465,54.0,80.69BS,NO PARK/STREET CLEAN,73.0,6477594.05092301,1851884.38555935
3227205,4270503381,2015-11-20T00:00:00,1346.0,HO136,,CA,201605.0,,TOYT,PA,GO,1601 WILCOX AV,00484,54.0,88.13B+,METER EXP.,63.0,6461453.8,1857762.5
486238,4279117776,2016-03-17T00:00:00,2110.0,81,,CA,201612.0,,BMW,PA,WT,11408 WOODBRIDGE ST,00315,53.0,80.58L,PREFERENTIAL PARKING,68.0,6446899.9,1876661.4
7526433,4332246520,2018-05-21T00:00:00,1250.0,HO969,,FL,201806.0,,JEEP,PA,MR,1701 WHITLEY AV,00495,54.0,88.13B+,METER EXP.,63.0,6460756.976783,1859516.042321
325247,4277536550,2016-02-22T00:00:00,1221.0,,,CA,201512.0,,BMW,PA,SL,153 75TH ST W,00553,55.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
3050138,4269616621,2015-10-21T00:00:00,1049.0,,,CA,201608.0,,INFI,PA,GY,300 HOPE ST S,00632,56.0,80.69A+,STOP/STAND PROHIBIT,93.0,6485250.9,1842024.5
7639312,4333857006,2018-06-10T00:00:00,1213.0,1,,CA,201809.0,,MAZD,PA,GY,1822 FOX HILLS DR,00203,51.0,80.58L,PREFERENTIAL PARKING,68.0,6434056.572737,1843802.840514
2382396,4261647843,2015-07-05T00:00:00,205.0,,,CA,201504.0,,BMW,PA,BK,5656 CRESCENT PARK,00111,51.0,80.69B,NO PARKING,73.0,99999.0,99999.0
5489500,4310344861,2017-06-02T00:00:00,922.0,L139,,CA,201710.0,,HOND,PA,BK,200 LARCHMONT BL N,00495,54.0,88.13B+,METER EXP.,63.0,6463689.893749,1848423.248453
2514365,4263635014,2015-07-26T00:00:00,122.0,12,,CA,8.0,,NISS,PA,SL,1039 MANZANITA ST,00403,54.0,80.58L,PREFERENTIAL PARKING,68.0,6476205.0,1855725.3
5861044,4314184464,2017-08-15T00:00:00,1707.0,,,CA,201802.0,,HOND,PA,GY,5600 SUNSET BLVD W,00400,54.0,22511.57B,DP- RO NOT PRESENT,363.0,6467524.862744,1858225.36058
721496,4281734111,2016-04-26T00:00:00,916.0,,,CA,201702.0,,GMC,TK,GY,2802 STRONG S DR,00136,51.0,80.69BS,NO PARK/STREET CLEAN,73.0,99999.0,99999.0
